time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-09T04:41:38.800Z,35.903,-98.294,6.491,2.7,ml,,78,,0.66,us,us100087vt,2017-04-04T01:47:39.040Z,"12km ENE of Watonga, Oklahoma",earthquake,1.6,7,,,reviewed,tul,tul
2017-03-09T00:29:34.500Z,35.5531,-96.7483,6.341,2.5,ml,,77,,0.2,us,us100087ud,2017-03-22T23:17:54.040Z,"9km NW of Prague, Oklahoma",earthquake,0.9,3,,,reviewed,tul,tul
2017-03-08T22:30:20.800Z,36.4918,-98.8963,5.196,3.8,ml,,52,,0.44,us,us100087t8,2017-03-23T00:09:10.745Z,"28km ENE of Mooreland, Oklahoma",earthquake,2.8,4.1,,,reviewed,tul,tul
2017-03-08T21:33:00.100Z,35.9124,-97.3498,7.157,2.9,ml,,31,,0.18,us,us100087su,2017-03-24T01:47:31.202Z,"7km ENE of Guthrie, Oklahoma",earthquake,1.2,5.3,,,reviewed,tul,tul
2017-03-08T17:14:06.200Z,36.1147,-98.7219,3.609,2.5,ml,,137,,0.77,us,us1000887g,2017-03-21T23:12:02.040Z,"23km ENE of Taloga, Oklahoma",earthquake,1.5,7.1,,,reviewed,tul,tul
2017-03-08T12:15:31.300Z,35.9464,-96.7514,4.525,2.6,ml,,61,,0.21,us,us100087pa,2017-03-09T03:59:39.510Z,"4km SSE of Cushing, Oklahoma",earthquake,1.1,3.1,,,reviewed,tul,tul
2017-03-08T09:48:55.680Z,35.9105,-98.2597,5,2.5,mb_lg,,75,0.121,0.3,us,us100087nq,2017-03-08T10:09:28.040Z,"15km ENE of Watonga, Oklahoma",earthquake,1.2,2,0.095,29,reviewed,us,us
2017-03-07T20:51:27.400Z,36.4227,-96.9155,5.513,3,ml,,32,,0.24,us,us100087jn,2017-03-16T20:39:37.040Z,"13km NW of Pawnee, Oklahoma",earthquake,0.8,1.7,,,reviewed,tul,tul
2017-03-07T16:06:01.200Z,36.6997,-97.6783,8.147,3.7,ml,,74,,0.2,us,us100087h1,2017-03-26T14:53:45.757Z,"12km SSE of Medford, Oklahoma",earthquake,1.3,1.8,,,reviewed,tul,tul
2017-03-07T16:03:09.400Z,36.6993,-97.6804,7.988,3.3,ml,,53,,0.16,us,us100087h0,2017-03-26T14:51:44.105Z,"12km SSE of Medford, Oklahoma",earthquake,1.3,3.7,,,reviewed,tul,tul
2017-03-06T23:21:04.760Z,37.0482,-97.3691,5,2.8,mb_lg,,61,0.093,0.43,us,us100087d8,2017-03-27T02:11:24.858Z,"21km E of Caldwell, Kansas",earthquake,0.6,2,0.073,49,reviewed,us,us
2017-03-05T17:33:37.400Z,35.7959,-97.1938,5.257,2.8,ml,,21,,0.3,us,us10008756,2017-04-02T15:17:47.040Z,"14km N of Luther, Oklahoma",earthquake,1.2,5,,,reviewed,tul,tul
2017-03-05T12:09:16.200Z,35.8996,-98.2899,5,3.2,ml,,48,,0.56,us,us10008748,2017-03-17T07:58:27.430Z,"12km ENE of Watonga, Oklahoma",earthquake,1.1,6.2,,,reviewed,tul,tul
